NAICS Codes;NAICS Industry Description;"Size Standards 
in millions of dollars";Size standards in number of employees;Footnotes;
336112;Light Truck and Utility Vehicle Manufacturing  ;;1 500 ;;
336120;Heavy Duty Truck Manufacturing;;1 500 ;;
336211;Motor Vehicle Body Manufacturing;;1 000 ;;
336212;Truck Trailer Manufacturing;;1 000 ;;
336213;Motor Home Manufacturing;;1 250 ;;
336214;Travel Trailer and Camper Manufacturing;;1 000 ;;
336310;Motor Vehicle Gasoline Engine and Engine Parts Manufacturing;;1 000 ;;
336320;Motor Vehicle Electrical and Electronic Equipment Manufacturing;;1 000 ;;
336330;Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing;;1 000 ;;
336340;Motor Vehicle Brake System Manufacturing;;1 250 ;;
336350;Motor Vehicle Transmission and Power Train Parts Manufacturing;;1 500 ;;
336360;Motor Vehicle Seating and Interior Trim Manufacturing;;1 500 ;;
336370;Motor Vehicle Metal Stamping  ;;1 000 ;;
336390;Other Motor Vehicle Parts Manufacturing;;1 000 ;;
336411;Aircraft Manufacturing;;1 500 ;;
336412;Aircraft Engine and Engine Parts Manufacturing;;1 500 ;;
336413;Other Aircraft Part and Auxiliary Equipment Manufacturing7   ;;1 250 ;See footnote 7;
336414;Guided Missile and Space Vehicle Manufacturing;;1 250 ;;
336415;Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing;;1 250 ;;
336419;Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing;;1 000 ;;
336510;Railroad Rolling Stock Manufacturing  ;;1 500 ;;
336611;Ship Building and Repairing;;1 250 ;;
336612;Boat Building;;1 000 ;;
336991;Motorcycle, Bicycle and Parts Manufacturing;;1 000 ;;
336992;Military Armored Vehicle, Tank and Tank Component Manufacturing;;1 500 ;;
336999;All Other Transportation Equipment Manufacturing  ;;1 000 ;;
Subsector 337 – Furniture and Related Product Manufacturing;;;;;
337110;Wood Kitchen Cabinet and Counter Top Manufacturing;;750 ;;
337121;Upholstered Household Furniture Manufacturing;;1 000 ;;
337122;Nonupholstered Wood Household Furniture Manufacturing;;750 ;;
337124;Metal Household Furniture Manufacturing;;750 ;;
337125;Household Furniture (except Wood and Metal) Manufacturing;;750 ;;
337127;Institutional Furniture Manufacturing;;500 ;;
337211;Wood Office Furniture Manufacturing;;1 000 ;;
337212;Custom Architectural Woodwork and Millwork Manufacturing;;500 ;;
337214;Office Furniture (Except Wood) Manufacturing;;1 000 ;;
337215;Showcase, Partition, Shelving, and Locker Manufacturing;;500 ;;
337910;Mattress Manufacturing;;1 000 ;;
337920;Blind and Shade Manufacturing;;1 000 ;;
Subsector 339 – Miscellaneous Manufacturing;;;;;
339112;Surgical and Medical Instrument Manufacturing;;1 000 ;;
339113;Surgical Appliance and Supplies Manufacturing;;750 ;;
339114;Dental Equipment and Supplies Manufacturing;;750 ;;
339115;Ophthalmic Goods Manufacturing;;1 000 ;;
339116;Dental Laboratories;;500 ;;
339910;Jewelry and Silverware Manufacturing;;500 ;;
339920;Sporting and Athletic Goods Manufacturing;;750 ;;
339930;Doll, Toy, and Game Manufacturing;;500 ;;
339940;Office Supplies (except Paper) Manufacturing;;750 ;;
339950;Sign Manufacturing;;500 ;;
339991;Gasket, Packing, and Sealing Device Manufacturing  ;;500 ;;
339992;Musical Instrument Manufacturing;;1 000 ;;
339993;Fastener, Button, Needle and Pin Manufacturing;;750 ;;
339994;Broom, Brush and Mop Manufacturing;;500 ;;
339995;Burial Casket Manufacturing;;1 000 ;;
339999;All Other Miscellaneous Manufacturing;;500 ;;
;Sector 42 – Wholesale Trade;;;;
;(These NAICS codes shall not be used to classify Government acquisitions for supplies.  They also shall not be used by Federal government contractors when subcontracting for the acquisition for supplies.  The applicable manufacturing NAICS code shall be used to classify acquisitions for supplies.  A Wholesale Trade or Retail Trade business concern submitting an offer or a quote on a supply acquisition is categorized as a nonmanufacturer and deemed small if it has 500 or fewer employees and meets the requirements of 13 CFR 121.406.);;;;
Subsector 423 –  Merchant Wholesalers, Durable Goods;;;;;
423110;Automobile and Other Motor Vehicle Merchant Wholesalers;;250 ;;
423120;Motor Vehicle Supplies and New Parts Merchant Wholesalers;;200 ;;
423130;Tire and Tube Merchant Wholesalers;;200 ;;
423140;Motor Vehicle Parts (Used) Merchant Wholesalers;;100 ;;
423210;Furniture Merchant Wholesalers;;100 ;;
423220;Home Furnishing Merchant Wholesalers;;100 ;;
423310;Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers;;150 ;;
423320;Brick, Stone, and Related Construction Material Merchant Wholesalers;;150 ;;
423330;Roofing, Siding, and Insulation Material Merchant Wholesalers;;200 ;;
423390;Other Construction Material Merchant Wholesalers;;100 ;;
423410;Photographic Equipment and Supplies Merchant Wholesalers;;200 ;;
423420;Office Equipment Merchant Wholesalers;;200 ;;
423430;Computer and Computer Peripheral Equipment and Software Merchant Wholesalers;;250 ;;
423440;Other Commercial Equipment Merchant Wholesalers;;100 ;;
423450;Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers;;200 ;;
423460;Ophthalmic Goods Merchant Wholesalers;;150 ;;
423490;Other Professional Equipment and Supplies Merchant Wholesalers;;150 ;;
423510;Metal Service Centers and Other Metal Merchant Wholesalers;;200 ;;
423520;Coal and Other Mineral and Ore Merchant Wholesalers;;100 ;;
423610;Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers;;200 ;;
423620;Household Appliances, Electric Housewares, and Consumer Electronics Merchant Wholesalers;;200 ;;
423690;Other Electronic Parts and Equipment Merchant Wholesalers;;250 ;;
423710;Hardware Merchant Wholesalers;;150 ;;
423720;Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers;;200 ;;
423730;Warm Air Heating and Air‑Conditioning Equipment and Supplies Merchant Wholesalers;;150 ;;
423740;Refrigeration Equipment and Supplies Merchant Wholesalers;;100 ;;
423810;Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers;;250 ;;
423820;Farm and Garden Machinery and Equipment Merchant Wholesalers;;100 ;;
423830;Industrial Machinery and Equipment Merchant Wholesalers;;100 ;;
423840;Industrial Supplies Merchant Wholesalers;;100 ;;
423850;Service Establishment Equipment and Supplies Merchant Wholesalers;;100 ;;
423860;Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers;;150 ;;
423910;Sporting and Recreational Goods and Supplies Merchant Wholesalers;;100 ;;
423920;Toy and Hobby Goods and Supplies Merchant Wholesalers;;150 ;;
423930;Recyclable Material Merchant Wholesalers;;100 ;;
423940;Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers;;100 ;;
423990;Other Miscellaneous Durable Goods Merchant Wholesalers;;100 ;;
Subsector 424 – Merchant Wholesalers, Nondurable Goods;;;;;
424110;Printing and Writing Paper Merchant Wholesalers;;200 ;;
424120;Stationary and Office Supplies Merchant Wholesalers;;150 ;;
424130;Industrial and Personal Service Paper Merchant Wholesalers;;150 ;;
424210;Drugs and Druggists’ Sundries Merchant Wholesalers;;250 ;;
424310;Piece Goods, Notions, and Other Dry Goods Merchant Wholesalers;;100 ;;
424320;Men’s and Boys’ Clothing and Furnishings Merchant Wholesalers;;150 ;;
424330;Women’s, Children’s, and Infants’ Clothing and Accessories Merchant Wholesalers;;100 ;;
424340;Footwear Merchant Wholesalers;;200 ;;
424410;General Line Grocery Merchant Wholesalers;;250 ;;
424420;Packaged Frozen Food Merchant Wholesalers;;200 ;;
424430;Dairy Product (except Dried or Canned) Merchant Wholesalers;;200 ;;
424440;Poultry and Poultry Product Merchant Wholesalers;;150 ;;
424450;Confectionery Merchant Wholesalers;;200 ;;
424460;Fish and Seafood Merchant Wholesalers;;100 ;;
424470;Meat and Meat Product Merchant Wholesalers;;150 ;;
424480;Fresh Fruit and Vegetable Merchant Wholesalers;;100 ;;
424490;Other Grocery and Related Products Merchant Wholesalers;;250 ;;
424510;Grain and Field Bean Merchant Wholesalers;;200 ;;
424520;Livestock Merchant Wholesalers;;100 ;;
424590;Other Farm Product Raw Material Merchant Wholesalers;;100 ;;
424610;Plastics Materials and Basic Forms and Shapes Merchant Wholesalers;;150 ;;
424690;Other Chemical and Allied Products Merchant Wholesalers;;150 ;;
424710;Petroleum Bulk Stations and Terminals;;200 ;;
424720;Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals);;200 ;;
424810;Beer and Ale Merchant Wholesalers;;200 ;;
424820;Wine and Distilled Alcoholic Beverage Merchant Wholesalers;;250 ;;
424910;Farm Supplies Merchant Wholesalers;;200 ;;
424920;Book, Periodical, and Newspaper Merchant Wholesalers;;200 ;;
424930;Flower, Nursery Stock, and Florists’ Supplies Merchant Wholesalers;;100 ;;
424940;Tobacco and Tobacco Product Merchant Wholesalers;;250 ;;
424950;Paint, Varnish, and Supplies Merchant Wholesalers;;150 ;;
424990;Other Miscellaneous Nondurable Goods Merchant Wholesalers;;100 ;;
Subsector 425 – Wholesale Electronic Markets and Agents and Brokers;;;;;
425110;Business to Business Electronic Markets;;100 ;;
425120;Wholesale Trade Agents and Brokers;;100 ;;
;Sector 44 - 45 – Retail Trade;;;;
;(These NAICS codes shall not be used to classify Government acquisitions for supplies.  They also shall not be used by Federal government contractors when subcontracting for the acquisition for supplies.  The applicable manufacturing NAICS code shall be used to classify acquisitions for supplies.  A Wholesale Trade or Retail Trade business concern submitting an offer or a quote on a supply acquisition is categorized as a nonmanufacturer and deemed small if it has 500 or fewer employees and meets the requirements of 13 CFR 121.406.);;;;
Subsector 441 – Motor Vehicle and Parts Dealers;;;;;
441110;New Car Dealers;;200 ;;
441120;Used Car Dealers; $27,0 ;;;
441210;Recreational Vehicle Dealers  ; $35,0 ;;;
441222;Boat Dealers; $35,0 ;;;
441228;Motorcycle, ATV, and All Other Motor Vehicle Dealers; $35,0 ;;;
441310;Automotive Parts and Accessories Stores; $16,5 ;;;
441320;Tire Dealers; $16,5 ;;;
Subsector 442 – Furniture and Home Furnishings Stores;;;;;
442110;Furniture Stores; $22,0 ;;;
442210;Floor Covering Stores; $8,0 ;;;
442291;Window Treatment Stores; $8,0 ;;;
442299;All Other Home Furnishings Stores; $22,0 ;;;
Subsector 443 – Electronics and Appliance Stores;;;;;
443141;Household Appliance Stores; $12,0 ;;;
443142;Electronics Stores; $35,0 ;;;
Subsector 444 – Building Material and Garden Equipment and Supplies Dealers;;;;;
444110;Home Centers; $41,5 ;;;
444120;Paint and Wallpaper Stores; $30,0 ;;;
444130;Hardware Stores; $8,0 ;;;
444190;Other Building Material Dealers; $22,0 ;;;
444210;Outdoor Power Equipment Stores; $8,0 ;;;
444220;Nursery and Garden Centers; $12,0 ;;;
Subsector 445 – Food and Beverage Stores;;;;;
445110;Supermarkets and Other Grocery (except Convenience) Stores; $35,0 ;;;
445120;Convenience Stores; $32,0 ;;;
445210;Meat Markets; $8,0 ;;;
445220;Fish and Seafood Markets; $8,0 ;;;
445230;Fruit and Vegetable Markets; $8,0 ;;;
445291;Baked Goods Stores; $8,0 ;;;
445292;Confectionery and Nut Stores; $8,0 ;;;
445299;All Other Specialty Food Stores; $8,0 ;;;
445310;Beer, Wine and Liquor Stores; $8,0 ;;;
Subsector 446 – Health and Personal Care Stores;;;;;
446110;Pharmacies and Drug Stores; $30,0 ;;;
446120;Cosmetics, Beauty Supplies and Perfume Stores; $30,0 ;;;
446130;Optical Goods Stores; $22,0 ;;;
446191;Food (Health) Supplement Stores; $16,5 ;;;
446199;All Other Health and Personal Care Stores; $8,0 ;;;
Subsector 447 – Gasoline Stations;;;;;
447110;Gasoline Stations with Convenience Stores; $32,0 ;;;
447190;Other Gasoline Stations; $16,5 ;;;
Subsector 448 – Clothing and Clothing Accessories Stores;;;;;
448110;Men’s Clothing Stores; $12,0 ;;;
448120;Women’s Clothing Stores; $30,0 ;;;
448130;Children’s and Infants’ Clothing Stores; $35,0 ;;;
448140;Family Clothing Stores; $41,5 ;;;
448150;Clothing Accessories Stores; $16,5 ;;;
448190;Other Clothing Stores; $22,0 ;;;
448210;Shoe Stores; $30,0 ;;;
448310;Jewelry Stores; $16,5 ;;;
448320;Luggage and Leather Goods Stores; $30,0 ;;;
Subsector 451 – Sporting Good, Hobby, Book and Music Stores;;;;;
451110;Sporting Goods Stores; $16,5 ;;;
451120;Hobby, Toy and Game Stores; $30,0 ;;;
451130;Sewing, Needlework and Piece Goods Stores; $30,0 ;;;
451140;Musical Instrument and Supplies Stores; $12,0 ;;;
451211;Book Stores; $30,0 ;;;
451212;News Dealers and Newsstands; $8,0 ;;;
Subsector 452 – General Merchandise Stores;;;;;
452210;Department Stores; $35,0 ;;;
452311;Warehouse Clubs and Supercenters; $32,0 ;;;
452319;All Other General Merchandise Stores; $35,0 ;;;
Subsector 453 – Miscellaneous Store Retailers;;;;;
453110;Florists; $8,0 ;;;
453210;Office Supplies and Stationery Stores; $35,0 ;;;
453220;Gift, Novelty and Souvenir Stores; $8,0 ;;;
453310;Used Merchandise Stores; $8,0 ;;;
453910;Pet and Pet Supplies Stores; $22,0 ;;;
453920;Art Dealers; $8,0 ;;;
453930;Manufactured (Mobile) Home Dealers; $16,5 ;;;
453991;Tobacco Stores; $8,0 ;;;
453998;All Other Miscellaneous Store Retailers (except Tobacco Stores); $8,0 ;;;
Subsector 454 – Nonstore Retailers;;;;;
454110;Electronic Shopping and Mail-Order Houses; $41,5 ;;;
454210;Vending Machine Operators; $12,0 ;;;
454310;Fuel Dealers;;100 ;;
454390;Other Direct Selling Establishments; $8,0 ;;;
;Sector 48 - 49 – Transportation and Warehousing;;;;
Subsector 481 – Air Transportation;;;;;
481111;Scheduled Passenger Air Transportation;;1 500 ;;
481112;Scheduled Freight Air Transportation;;1 500 ;;
481211;Nonscheduled Chartered Passenger Air Transportation;;1 500 ;;
481212;Nonscheduled Chartered Freight Air Transportation  ;;1 500 ;;
481219;Other Nonscheduled Air Transportation; $16,5 ;;;
Subsector 482 – Rail Transportation;;;;;
482111;Line‑Haul Railroads;;1 500 ;;
482112;Short Line Railroads;;1 500 ;;
Subsector 483 – Water Transportation;;;;;
483111;Deep Sea Freight Transportation;;500 ;;
483112;Deep Sea Passenger Transportation;;1 500 ;;
483113;Coastal and Great Lakes Freight Transportation;;750 ;;
483114;Coastal and Great Lakes Passenger Transportation;;500 ;;
483211;Inland Water Freight Transportation;;750 ;;
483212;Inland Water Passenger Transportation;;500 ;;
Subsector 484 – Truck Transportation;;;;;
484110;General Freight Trucking, Local; $30,0 ;;;
484121;General Freight Trucking, Long‑Distance, Truckload  ; $30,0 ;;;
484122;General Freight Trucking, Long‑Distance, Less Than Truckload; $30,0 ;;;
484210;Used Household and Office Goods Moving; $30,0 ;;;
484220;Specialized Freight (except Used Goods) Trucking, Local; $30,0 ;;;
484230;Specialized Freight (except Used Goods) Trucking, Long‑Distance; $30,0 ;;;
Subsector 485 – Transit and Ground Passenger Transportation;;;;;
485111;Mixed Mode Transit Systems; $16,5 ;;;
485112;Commuter Rail Systems; $16,5 ;;;
485113;Bus and Other Motor Vehicle Transit Systems; $16,5 ;;;
485119;Other Urban Transit Systems; $16,5 ;;;
485210;Interurban and Rural Bus Transportation; $16,5 ;;;
485310;Taxi Service; $16,5 ;;;
485320;Limousine Service; $16,5 ;;;
485410;School and Employee Bus Transportation; $16,5 ;;;
485510;Charter Bus Industry; $16,5 ;;;
485991;Special Needs Transportation; $16,5 ;;;
485999;All Other Transit and Ground Passenger Transportation; $16,5 ;;;
Subsector 486 – Pipeline Transportation;;;;;
486110;Pipeline Transportation of Crude Oil;;1 500 ;;
486210;Pipeline Transportation of Natural Gas; $30,0 ;;;
486910;Pipeline Transportation of Refined Petroleum Products;;1 500 ;;
486990;All Other Pipeline Transportation; $40,5 ;;;
Subsector 487 – Scenic and Sightseeing Transportation;;;;;
487110;Scenic and Sightseeing Transportation, Land; $8,0 ;;;
487210;Scenic and Sightseeing Transportation, Water; $8,0 ;;;
487990;Scenic and Sightseeing Transportation, Other; $8,0 ;;;
Subsector 488 – Support Activities for Transportation;;;;;
488111;Air Traffic Control; $35,0 ;;;
488119;Other Airport Operations; $35,0 ;;;
488190;Other Support Activities for Air Transportation; $35,0 ;;;
488210;Support Activities for Rail Transportation; $16,5 ;;;
488310;Port and Harbor Operations; $41,5 ;;;
488320;Marine Cargo Handling; $41,5 ;;;
488330;Navigational Services to Shipping; $41,5 ;;;
488390;Other Support Activities for Water Transportation; $41,5 ;;;
488410;Motor Vehicle Towing; $8,0 ;;;
488490;Other Support Activities for Road Transportation; $8,0 ;;;
488510;Freight Transportation Arrangement10; $16,5 ;;See footnote 10;
488510_Except;Non‑Vessel Owning Common Carriers and Household Goods Forwarders; $30,0 ;;;
488991;Packing and Crating; $30,0 ;;;
488999;All Other Support Activities for Transportation; $8,0 ;;;
Subsector 491 – Postal Service;;;;;
491110;Postal Service; $8,0 ;;;
Subsector 492 – Couriers and Messengers;;;;;
492110;Couriers and Express Delivery Services;;1 500 ;;
492210;Local Messengers and Local Delivery; $30,0 ;;;
Subsector 493 – Warehousing and Storage;;;;;
493110;General Warehousing and Storage; $30,0 ;;;
493120;Refrigerated Warehousing and Storage; $30,0 ;;;
493130;Farm Product Warehousing and Storage; $30,0 ;;;
493190;Other Warehousing and Storage; $30,0 ;;;
;Sector 51 – Information;;;;
Subsector 511 – Publishing Industries (except Internet);;;;;
511110;Newspaper Publishers;;1 000 ;;
511120;Periodical Publishers;;1 000 ;;
511130;Book Publishers;;1 000 ;;
511140;Directory and Mailing List Publishers;;1 250 ;;
511191;Greeting Card Publishers;;1 500 ;;
511199;All Other Publishers;;500 ;;
511210;Software Publishers20; $41,5 ;;See footnote 20;
Subsector 512 – Motion Picture and Sound Recording Industries;;;;;
512110;Motion Picture and Video Production; $35,0 ;;;
512120;Motion Picture and Video Distribution; $34,5 ;;;
512131;Motion Picture Theaters (except Drive‑Ins); $41,5 ;;;
512132;Drive‑In Motion Picture Theaters; $8,0 ;;;
512191;Teleproduction and Other Postproduction Services; $34,5 ;;;
512199;Other Motion Picture and Video Industries; $22,0 ;;;
512230;Music Publishers;;750 ;;
512240;Sound Recording Studios; $8,0 ;;;
512250;Record Production and Distribution;;250;;
512290;Other Sound Recording Industries; $12,0 ;;;
Subsector 515 – Broadcasting (except Internet);;;;;
515111;Radio Networks; $35,0 ;;;
515112;Radio Stations; $41,5 ;;;
515120;Television Broadcasting; $41,5 ;;;
515210;Cable and Other Subscription Programming; $41,5 ;;;
Subsector 517 – Telecommunications;;;;;
517311;Wired Telecommunications Carriers;;1 500 ;;
517312;Wireless Telecommunications Carriers (except Satellite);;1 500 ;;
517410;Satellite Telecommunications; $35,0 ;;;
517911;Telecommunications Resellers;;1 500 ;;
517919;All Other Telecommunications; $35,0 ;;;
Subsector 518 –Data Processing, Hosting, and Related Services;;;;;
518210;Data Processing, Hosting, and Related Services; $35,0 ;;;
Subsector 519 – Other Information Services;;;;;
519110;News Syndicates; $30,0 ;;;
519120;Libraries and Archives; $16,5 ;;;
519130;Internet Publishing and Broadcasting and Web Search Portals;;1 000 ;;
519190;All Other Information Services; $30,0 ;;;
;Sector 52 – Finance and Insurance;;;;
Subsector 522 – Credit Intermediation and Related Activities;;;;;
522110;Commercial Banking8;$600 million in assets8;;See footnote 8;
522120;Savings Institutions8;$600 million in assets8;;See footnote 8;
522130;Credit Unions8;$600 million in assets8;;See footnote 8;
522190;Other Depository Credit Intermediation8;$600 million in assets8;;See footnote 8;
522210;Credit Card Issuing8;$600 million in assets8;;See footnote 8;
522220;Sales Financing; $41,5 ;;;
522291;Consumer Lending; $41,5 ;;;
522292;Real Estate Credit; $41,5 ;;;
522293;International Trade Financing; $41,5 ;;;
522294;Secondary Market Financing; $41,5 ;;;
522298;All Other Nondepository Credit Intermediation; $41,5 ;;;
522310;Mortgage and Nonmortgage Loan Brokers; $8,0 ;;;
522320;Financial Transactions Processing, Reserve, and Clearinghouse Activities; $41,5 ;;;
522390;Other Activities Related to Credit Intermediation; $22,0 ;;;
Subsector 523 – Financial Investments and Related Activities;;;;;
523110;Investment Banking and Securities Dealing; $41,5 ;;;
523120;Securities Brokerage; $41,5 ;;;
523130;Commodity Contracts Dealing; $41,5 ;;;
523140;Commodity Contracts Brokerage; $41,5 ;;;
523210;Securities and Commodity Exchanges; $41,5 ;;;
523910;Miscellaneous Intermediation; $41,5 ;;;
523920;Portfolio Management; $41,5 ;;;
523930;Investment Advice; $41,5 ;;;
523991;Trust, Fiduciary and Custody Activities; $41,5 ;;;
523999;Miscellaneous Financial Investment Activities; $41,5 ;;;
Subsector 524 – Insurance Carriers and Related Activities;;;;;
524113;Direct Life Insurance Carriers; $41,5 ;;;
524114;Direct Health and Medical Insurance Carriers; $41,5 ;;;
524126;Direct Property and Casualty Insurance Carriers;;1 500 ;;
524127;Direct Title Insurance Carriers; $41,5 ;;;
524128;Other Direct Insurance (except Life, Health and Medical) Carriers; $41,5 ;;;
524130;Reinsurance Carriers; $41,5 ;;;
524210;Insurance Agencies and Brokerages; $8,0 ;;;
524291;Claims Adjusting; $22,0 ;;;
524292;Third Party Administration of Insurance and Pension Funds; $35,0 ;;;
524298;All Other Insurance Related Activities; $16,5 ;;;
Subsector 525 – Funds, Trusts and Other Financial Vehicles;;;;;
525110;Pension Funds; $35,0 ;;;
525120;Health and Welfare Funds; $35,0 ;;;
525190;Other Insurance Funds; $35,0 ;;;
525910;Open‑End Investment Funds; $35,0 ;;;
525920;Trusts, Estates, and Agency Accounts; $35,0 ;;;
525990;Other Financial Vehicles; $35,0 ;;;
;Sector 53 – Real Estate and Rental and Leasing;;;;
Subsector 531 – Real Estate;;;;;
531110;Lessors of Residential Buildings and Dwellings9; $30,0 ;;See footnote 9;
531120;Lessors of Nonresidential Buildings (except Miniwarehouses)9; $30,0 ;;See footnote 9;
531130;Lessors of Miniwarehouses and Self Storage Units9; $30,0 ;;See footnote 9;
531190;Lessors of Other Real Estate Property9; $30,0 ;;See footnote 9;
531210;Offices of Real Estate Agents and Brokers10; $8,0 ;;See footnote 10;
531311;Residential Property Managers; $8,0 ;;;
531312;Nonresidential Property Managers; $8,0 ;;;
531320;Offices of Real Estate Appraisers; $8,0 ;;;
531390;Other Activities Related to Real Estate; $8,0 ;;;
Subsector 532 – Rental and Leasing Services;;;;;
532111;Passenger Car Rental; $41,5 ;;;
532112;Passenger Car Leasing; $41,5 ;;;
532120;Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing; $41,5 ;;;
532210;Consumer Electronics and Appliances Rental; $41,5 ;;;
532281;Formal Wear and Costume Rental; $22,0 ;;;
532282;Video Tape and Disc Rental; $30,0 ;;;
532283;Home Health Equipment Rental; $35,0 ;;;
532284;Recreational Goods Rental; $8,0 ;;;
532289;All Other Consumer Goods Rental; $8,0 ;;;
532310;General Rental Centers; $8,0 ;;;
532411;Commercial Air, Rail, and Water Transportation Equipment Rental and Leasing; $35,0 ;;;
532412;Construction, Mining and Forestry Machinery and Equipment Rental and Leasing; $35,0 ;;;
532420;Office Machinery and Equipment Rental and Leasing; $35,0 ;;;
532490;Other Commercial and Industrial Machinery and Equipment Rental and Leasing; $35,0 ;;;
Subsector 533 – Lessors of Nonfinancial Intangible Assets (except Copyrighted Works);;;;;
533110;Lessors of Nonfinancial Intangible Assets (except Copyrighted Works); $41,5 ;;;
;Sector 54 – Professional, Scientific and Technical Services;;;;
Subsector 541 – Professional, Scientific and Technical Services;;;;;
541110;Offices of Lawyers; $12,0 ;;;
541191;Title Abstract and Settlement Offices; $12,0 ;;;
541199;All Other Legal Services; $12,0 ;;;
541211;Offices of Certified Public Accountants; $22,0 ;;;
541213;Tax Preparation Services; $22,0 ;;;
541214;Payroll Services; $22,0 ;;;
541219;Other Accounting Services; $22,0 ;;;
541310;Architectural Services; $8,0 ;;;
541320;Landscape Architectural Services; $8,0 ;;;
541330;Engineering Services; $16,5 ;;;
541330_a_Except;Military and Aerospace Equipment and Military Weapons; $41,5 ;;;
541330_b_Except;Contracts and Subcontracts for Engineering Services Awarded Under the National Energy Policy Act of 1992; $41,5 ;;;
541330_c_Except;Marine Engineering and Naval Architecture; $41,5 ;;;
541340;Drafting Services; $8,0 ;;;
541350;Building Inspection Services; $8,0 ;;;
541360;Geophysical Surveying and Mapping Services; $16,5 ;;;
541370;Surveying and Mapping (except Geophysical) Services; $16,5 ;;;
541380;Testing Laboratories; $16,5 ;;;
541410;Interior Design Services; $8,0 ;;;
541420;Industrial Design Services; $8,0 ;;;
541430;Graphic Design Services; $8,0 ;;;
541490;Other Specialized Design Services; $8,0 ;;;
541511;Custom Computer Programming Services; $30,0 ;;;
541512;Computer Systems Design Services; $30,0 ;;;
541513;Computer Facilities Management Services; $30,0 ;;;
541519;Other Computer Related Services; $30,0 ;;;
541519_Except;Information Technology Value Added Resellers18;;150 ;See footnote 18;
541611;Administrative Management and General Management Consulting Services; $16,5 ;;;
541612;Human Resources Consulting Services; $16,5 ;;;
541613;Marketing Consulting Services; $16,5 ;;;
541614;Process, Physical Distribution and Logistics Consulting Services; $16,5 ;;;
541618;Other Management Consulting Services; $16,5 ;;;
541620;Environmental Consulting Services; $16,5 ;;;
541690;Other Scientific and Technical Consulting Services  ; $16,5 ;;;
541713;Research and Technology in Nanotechnology11;;1 000;See footnote 11;
541714;Research and Technology in Biotechnology (except Nanobiotechnology)11;;1 000;See footnote 11;
541715;Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology) 11;;1 000;See footnote 11;
541715_a_Except;Aircraft, Aircraft Engine and Engine Parts11;;1 500;See footnote 11;
541715_b_Except;Other Aircraft Parts and Auxiliary Equipment11;;1 250;See footnote 11;
541715_c_Except;Guided Missiles and Space Vehicles, Their Propulsion Units and Propulsion Parts11;;1 250;See footnote 11;
541720;Research and Development in the Social Sciences and Humanities; $22,0 ;;;
541810;Advertising Agencies10; $16,5 ;;See footnote 10;
541820;Public Relations Agencies; $16,5 ;;;
541830;Media Buying Agencies; $16,5 ;;;
541840;Media Representatives; $16,5 ;;;
541850;Outdoor Advertising; $16,5 ;;;
541860;Direct Mail Advertising; $16,5 ;;;
541870;Advertising Material Distribution Services; $16,5 ;;;
541890;Other Services Related to Advertising; $16,5 ;;;
541910;Marketing Research and Public Opinion Polling; $16,5 ;;;
541921;Photography Studios, Portrait; $8,0 ;;;
541922;Commercial Photography; $8,0 ;;;
541930;Translation and Interpretation Services; $8,0 ;;;
541940;Veterinary Services; $8,0 ;;;
541990;All Other Professional, Scientific and Technical Services; $16,5 ;;;
;Sector 55 – Management of Companies and Enterprises;;;;
Subsector 551 – Management of Companies and Enterprises;;;;;
551111;Offices of Bank Holding Companies; $22,0 ;;;
551112;Offices of Other Holding Companies; $22,0 ;;;
;Sector 56 – Administrative and Support, Waste Management and Remediation Services;;;;
Subsector 561 – Administrative and Support Services;;;;;
561110;Office Administrative Services; $8,0 ;;;
561210;Facilities Support Services12; $41,5 ;;See footnote 12;
561311;Employment Placement Agencies; $30,0 ;;;
561312;Executive Search Services; $30,0 ;;;
561320;Temporary Help Services; $30,0 ;;;
561330;Professional Employer Organizations; $30,0 ;;;
561410;Document Preparation Services; $16,5 ;;;
561421;Telephone Answering Services; $16,5 ;;;
561422;Telemarketing Bureaus and Other contact Centers; $16,5 ;;;
561431;Private Mail Centers; $16,5 ;;;
561439;Other Business Service Centers (including Copy Shops); $16,5 ;;;
561440;Collection Agencies; $16,5 ;;;
561450;Credit Bureaus; $16,5 ;;;
561491;Repossession Services; $16,5 ;;;
561492;Court Reporting and Stenotype Services; $16,5 ;;;
561499;All Other Business Support Services; $16,5 ;;;
561510;Travel Agencies10; $22,0 ;;See footnote 10;
561520;Tour Operators10; $22,0 ;;See footnote 10;
561591;Convention and Visitors Bureaus; $22,0 ;;;
